ID,INV,PCODE,DATE,CATALOG,QTY,CUSTNUM,ORIGEN
1,2513000,GD3200,2000-12-17,GARDENING,3,"Rifkin, Mr. Bob",WEB
2,2513000,PT1400,2001-01-06,PETS,1,"Rifkin, Mr. Bob",WEB
3,2513000,PT2000,2001-01-06,PETS,1,"Rifkin, Mr. Bob",WEB
4,2513000,PT2100,2001-01-06,PETS,1,"Rifkin, Mr. Bob",WEB
5,2513000,PT2000,2000-07-27,PETS,4,"Rifkin, Mr. Bob",WEB
6,2513000,TY4300,2000-09-01,TOYS,1,"Rifkin, Mr. Bob",WEB
7,2638000,PT1200,2000-11-16,PETS,3,"Karl, Mr. Adrian",WEB
8,2638000,PT1400,2001-01-25,PETS,1,"Karl, Mr. Adrian",WEB
9,2638000,PT1400,2001-05-29,PETS,2,"Karl, Mr. Adrian",WEB
10,2638000,SP2300,2001-07-02,SPORTS,1,"Karl, Mr. Adrian",WEB
11,2638000,SP2600,2001-07-08,SPORTS,1,"Karl, Mr. Adrian",WEB
12,2638000,SP3000,2000-08-27,SPORTS,1,"Karl, Mr. Adrian",WEB
13,2638000,TY3500,2001-06-16,TOYS,4,"Karl, Mr. Adrian",WEB
14,2763000,GD2100,2000-08-02,GARDENING,1,"Artis, Ms. Carol",WEB
15,2763000,GD2400,2000-11-11,GARDENING,4,"Artis, Ms. Carol",WEB
16,2763000,SP2300,2001-02-07,SPORTS,2,"Artis, Ms. Carol",WEB
17,2763000,SP2700,2001-02-07,SPORTS,3,"Artis, Ms. Carol",WEB
18,2763000,SP3100,2001-01-12,SPORTS,1,"Artis, Ms. Carol",WEB
19,2763000,TY1650,2001-02-03,TOYS,1,"Artis, Ms. Carol",WEB
20,2763000,TY4200,2001-01-03,TOYS,2,"Artis, Ms. Carol",WEB
21,2888000,GD1001,2000-08-14,GARDENING,1,"Montrose, Ms. Irene",WEB
22,2888000,PT1200,2001-01-01,PETS,1,"Montrose, Ms. Irene",WEB
23,2888000,PT1300,2000-10-11,PETS,1,"Montrose, Ms. Irene",WEB
24,2888000,SP1400,2000-09-07,SPORTS,1,"Montrose, Ms. Irene",WEB
25,2888000,SP2500,2001-04-07,SPORTS,1,"Montrose, Ms. Irene",WEB
26,2888000,SP3000,2001-03-26,SPORTS,2,"Montrose, Ms. Irene",WEB
27,2888000,TY1400,2001-01-30,TOYS,1,"Montrose, Ms. Irene",WEB
28,2888000,TY4600,2001-01-30,TOYS,4,"Montrose, Ms. Irene",WEB
29,2888000,TY5100,2001-01-30,TOYS,1,"Montrose, Ms. Irene",WEB
30,3013000,GD1500,2001-07-06,GARDENING,1,"Hawks, Ms. Sue",WEB
31,3013000,GD2300,2001-07-06,GARDENING,4,"Hawks, Ms. Sue",WEB
32,3013000,TY1700,2001-01-07,TOYS,1,"Hawks, Ms. Sue",WEB
33,3013000,TY1800,2000-09-21,TOYS,1,"Hawks, Ms. Sue",WEB
34,3013000,TY4100,2000-09-21,TOYS,1,"Hawks, Ms. Sue",WEB
