ID,INV,DATE,CATALOG,PCODE,QTY,CUSTNUM,ORIGEN
1,107707,1997-03-07,SPORTS,SP1000,1,"Kraft, Ms. Rose",CATALOG
2,110633,1997-03-25,GARDENING,GD2200,1,"Kraft, Ms. Rose",CATALOG
3,111155,1997-03-28,PETS,PT1300,3,"Kraft, Ms. Rose",CATALOG
4,126867,1997-06-22,TOYS,TY4100,1,"Kraft, Ms. Rose",CATALOG
5,135872,1997-08-08,TOYS,TY1200,4,"Kraft, Ms. Rose",CATALOG
6,135872,1997-08-08,TOYS,TY2100,1,"Kraft, Ms. Rose",CATALOG
7,135872,1997-08-08,TOYS,TY2300,1,"Kraft, Ms. Rose",CATALOG
8,135872,1997-08-08,TOYS,TY4100,1,"Kraft, Ms. Rose",CATALOG
9,140623,1997-09-02,SOFTWARE,SW8511,4,"Kraft, Ms. Rose",CATALOG
10,141408,1997-09-06,SPORTS,SP1500,1,"Kraft, Ms. Rose",CATALOG
11,168285,1998-02-01,GARDENING,GD3100,3,"Kraft, Ms. Rose",CATALOG
12,168285,1998-02-01,GARDENING,GD3300,1,"Kraft, Ms. Rose",CATALOG
13,168285,1998-02-01,GARDENING,GD3400,1,"Kraft, Ms. Rose",CATALOG
14,168285,1998-02-01,GARDENING,GD4300,3,"Kraft, Ms. Rose",CATALOG
15,243353,1998-04-07,SOFTWARE,SW5338,2,"Kraft, Ms. Rose",CATALOG
16,243377,1998-04-24,PETS,PT2300,2,"Kraft, Ms. Rose",CATALOG
17,243377,1998-04-24,PETS,PT2400,2,"Kraft, Ms. Rose",CATALOG
18,207772,1998-08-02,SPORTS,SP1200,1,"Kraft, Ms. Rose",CATALOG
19,213285,1998-08-25,TOYS,TY3700,3,"Kraft, Ms. Rose",CATALOG
20,225108,1998-10-14,PETS,PT3100,1,"Kraft, Ms. Rose",CATALOG
21,236334,1998-12-01,TOYS,TY1600,1,"Kraft, Ms. Rose",CATALOG
22,126867,2000-09-29,TOYS,TY4100,1,"Kraft, Ms. Rose",CATALOG
